CODGEO;LIBGEO;REG;DEP;E14A17;DE14A17;C114A17;C214A17;C314A17;C414A17;C514A17;FZ14A17;GZ14A17;HZ14A17;IZ14A17;JZ14A17;KZ14A17;LZ14A17;MN14A17;OQ14A17;RU14A17;;
01157;Fareins;82;01;167;1;1;0;5;0;13;23;37;1;7;3;7;6;25;23;15;;
01158;Farges;82;01;20;1;0;0;0;0;0;2;3;0;1;0;1;1;8;1;2;;
01159;Feillens;82;01;220;2;8;0;0;0;14;29;55;7;5;3;13;17;29;23;15;;
01160;Ferney-Voltaire;82;01;665;1;5;0;0;0;8;29;133;12;54;14;38;67;120;136;48;;
01162;Flaxieu;82;01;4;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;;
01163;Foissiat;82;01;81;0;2;0;0;0;6;22;12;3;4;0;2;2;7;11;10;;
01165;Francheleins;82;01;42;0;1;0;0;0;0;11;12;1;1;2;0;2;8;2;2;;
01166;Frans;82;01;109;0;1;0;3;0;4;21;28;2;4;5;1;6;19;6;9;;
01167;Garnerans;82;01;35;1;0;0;1;0;2;4;6;1;2;1;0;0;8;4;5;;
01169;Genouilleux;82;01;21;0;0;0;1;0;0;9;4;0;2;1;0;0;3;0;1;;
01170;Béard-Géovreissiat;82;01;42;3;0;0;0;0;9;9;4;1;1;4;1;0;6;1;3;;
01171;Géovreisset;82;01;45;0;0;0;1;0;11;13;8;1;1;0;1;0;7;2;0;;
01172;Germagnat;82;01;6;0;0;0;0;0;1;2;1;0;0;0;1;0;1;0;0;;
01173;Gex;82;01;494;3;5;0;1;0;8;77;91;7;36;9;28;22;93;59;55;;
01174;Giron;82;01;10;0;0;0;0;0;0;2;2;0;1;0;0;1;1;2;1;;
01175;Gorrevod;82;01;29;0;1;0;0;0;4;3;9;1;3;0;0;0;4;1;3;;
01176;Le Grand-Abergement;82;01;6;0;0;0;0;0;1;1;1;0;1;0;0;2;0;0;0;;
01177;Grand-Corent;82;01;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;
01179;Grièges;82;01;86;0;3;0;0;0;5;14;17;0;7;3;5;4;11;7;10;;
01180;Grilly;82;01;28;0;2;0;0;0;2;2;9;1;4;1;0;1;2;3;1;;
01181;Groissiat;82;01;93;3;0;0;3;0;31;4;14;2;0;4;8;5;12;2;5;;
01182;Groslée;82;01;25;0;1;0;0;0;2;5;6;2;1;0;2;2;1;1;2;;
01183;Guéreins;82;01;122;1;2;0;2;1;19;22;26;8;5;1;6;7;7;7;8;;
01184;Hautecourt-Romanèche;82;01;35;1;0;0;0;0;5;8;3;1;3;1;0;0;7;3;3;;
01185;Hauteville-Lompnes;82;01;238;7;7;0;0;1;5;24;44;5;20;4;10;9;18;60;24;;
01186;Hostiaz;82;01;4;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;;
01187;Hotonnes;82;01;42;0;1;0;0;0;3;4;5;0;11;1;2;0;8;4;3;;
01188;Illiat;82;01;29;0;0;0;0;0;0;6;8;0;2;2;0;1;8;2;0;;
01189;Injoux-Génissiat;82;01;37;8;0;0;0;0;1;9;3;1;2;0;1;1;5;2;4;;
01190;Innimond;82;01;6;0;0;0;0;0;0;1;0;0;2;1;0;0;1;0;1;;
01191;Izenave;82;01;12;1;0;0;0;0;1;3;2;0;1;0;0;0;2;2;0;;
01192;Izernore;82;01;156;4;2;0;1;0;40;17;21;6;6;1;14;7;20;10;7;;
01193;Izieu;82;01;4;0;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;;
01194;Jassans-Riottier;82;01;330;5;6;0;5;1;18;49;62;9;16;2;14;16;38;66;23;;
01195;Jasseron;82;01;73;1;2;0;1;0;4;12;12;3;6;0;2;2;15;8;5;;
01196;Jayat;82;01;55;1;2;0;0;0;5;4;9;1;4;0;2;2;12;6;7;;
01197;Journans;82;01;18;0;0;0;0;0;2;3;3;0;1;0;0;0;1;2;6;;
01198;Joyeux;82;01;8;0;0;0;0;0;1;1;2;0;1;1;0;0;1;1;0;;
01199;Jujurieux;82;01;110;1;2;0;1;0;11;17;20;3;5;5;4;1;14;15;11;;
01200;Labalme;82;01;14;0;0;0;0;0;0;4;2;0;3;0;0;0;0;2;3;;
01202;Lagnieu;82;01;394;7;6;0;1;0;14;54;83;11;24;12;11;13;50;65;43;;
01203;Laiz;82;01;56;0;1;0;1;0;6;12;14;5;2;0;0;3;5;1;6;;
01204;Lalleyriat;82;01;14;0;0;0;0;0;1;1;2;1;3;0;1;1;3;1;0;;
01205;Lancrans;82;01;36;1;0;0;0;0;3;9;3;1;2;0;1;4;7;2;3;;
01206;Lantenay;82;01;5;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3;;
01207;Lapeyrouse;82;01;19;1;0;0;0;0;0;6;4;0;1;1;0;2;3;0;1;;
01208;Lavours;82;01;7;1;0;0;0;0;1;0;2;0;1;1;0;0;0;1;0;;
01209;Léaz;82;01;13;0;0;0;0;0;0;2;1;2;3;1;0;0;1;0;3;;
01210;Lélex;82;01;61;0;1;0;1;1;2;7;9;1;15;0;0;3;7;11;3;;
01211;Lent;82;01;47;0;1;0;0;0;2;6;9;3;4;0;0;0;5;10;7;;
01212;Lescheroux;82;01;31;1;2;0;0;0;2;7;9;0;3;0;0;1;1;0;5;;
01213;Leyment;82;01;64;1;1;0;0;1;6;11;22;4;3;1;1;0;4;3;6;;
01214;Leyssard;82;01;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;;
01215;Lhôpital;82;01;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;
01216;Lhuis;82;01;53;1;1;0;1;0;4;14;10;4;3;0;2;3;4;3;3;;
01218;Lochieu;82;01;11;0;0;0;0;0;0;3;1;0;1;0;1;0;1;2;2;;
01219;Lompnas;82;01;8;0;0;0;0;0;0;2;1;0;1;0;0;0;1;0;3;;
01221;Lompnieu;82;01;7;0;0;0;0;0;1;3;1;0;1;0;0;0;0;1;0;;
01224;Loyettes;82;01;170;5;3;0;0;0;9;41;34;8;13;1;4;6;23;12;11;;
01225;Lurcy;82;01;9;0;0;0;0;0;1;4;2;0;1;0;0;0;0;0;1;;
01227;Magnieu;82;01;15;0;0;0;0;0;1;2;1;0;0;0;0;1;5;1;4;;
01228;Maillat;82;01;50;1;3;0;2;0;6;8;6;1;3;1;2;1;4;9;3;;
01229;Malafretaz;82;01;47;0;2;0;0;0;2;11;8;4;7;1;1;1;5;1;4;;
01230;Mantenay-Montlin;82;01;8;0;0;0;0;0;1;3;1;1;1;0;0;0;0;1;0;;
01231;Manziat;82;01;90;0;3;0;1;0;4;22;23;3;5;1;2;2;4;13;7;;
01232;Marboz;82;01;130;4;4;0;1;0;10;21;30;3;5;1;4;1;13;19;14;;
01233;Marchamp;82;01;4;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;;
01234;Marignieu;82;01;9;0;0;0;0;0;2;2;3;0;0;0;0;0;0;1;1;;
01235;Marlieux;82;01;54;0;1;0;0;0;6;11;10;0;5;3;3;0;3;8;4;;
01236;Marsonnas;82;01;24;0;0;0;0;0;0;3;9;0;1;2;1;0;6;0;2;;
01237;Martignat;82;01;103;1;1;0;1;0;34;10;21;1;4;0;5;4;13;5;3;;
01238;Massieux;82;01;138;0;4;0;0;0;5;29;34;5;13;3;4;3;16;16;6;;
01239;Massignieu-de-Rives;82;01;41;1;0;0;0;0;0;6;7;3;4;1;2;1;7;5;4;;
01240;Matafelon-Granges;82;01;33;2;1;0;0;0;5;4;9;1;2;1;0;0;5;1;2;;
01241;Meillonnas;82;01;73;0;1;0;1;0;5;8;12;1;2;0;6;6;12;11;8;;
01242;Mérignat;82;01;3;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;;
01243;Messimy-sur-Saône;82;01;83;0;1;0;0;0;9;25;16;2;3;2;3;4;13;2;3;;
01244;Meximieux;82;01;516;6;14;0;3;0;13;52;119;10;32;15;24;18;78;81;51;;
01245;Bohas-Meyriat-Rignat;82;01;41;0;1;0;0;0;2;9;7;2;2;0;1;4;5;7;1;;
01246;Mézériat;82;01;133;1;5;0;0;0;10;27;29;1;9;1;5;6;14;17;8;;
01247;Mijoux;82;01;51;0;0;0;0;0;4;5;8;1;11;0;0;2;7;8;5;;
01248;Mionnay;82;01;138;0;1;0;2;0;7;29;30;3;4;3;7;6;19;18;9;;
01249;Miribel;82;01;690;9;12;0;6;1;72;73;145;15;32;17;38;31;105;91;43;;
01250;Misérieux;82;01;78;2;0;0;0;0;7;16;19;1;3;0;1;4;12;8;5;;
01252;Mogneneins;82;01;29;0;1;0;0;0;2;9;2;1;1;0;1;1;6;4;1;;
01254;Montagnat;82;01;127;0;3;0;1;0;7;20;45;2;10;2;4;3;11;11;8;;
01255;Montagnieu;82;01;18;0;1;0;0;0;2;4;4;0;3;0;0;0;2;0;2;;
01257;Montanges;82;01;14;0;0;0;0;0;3;2;0;0;2;1;0;0;3;2;1;;
01258;Montceaux;82;01;47;0;2;0;0;0;1;12;12;2;2;0;0;2;10;2;2;;
01259;Montcet;82;01;23;1;1;0;0;0;0;7;3;1;2;2;0;0;3;2;1;;
01260;Le Montellier;82;01;10;0;0;0;0;0;0;2;1;0;0;0;2;1;4;0;0;;
01261;Monthieux;82;01;38;0;0;0;0;0;2;5;2;0;1;1;2;0;12;6;7;;
01262;Montluel;82;01;395;2;8;0;2;0;13;53;76;15;25;7;19;11;59;71;34;;
01263;Montmerle-sur-Saône;82;01;213;2;3;0;1;0;19;30;38;5;14;6;16;7;27;29;16;;
01264;Montracol;82;01;42;1;0;0;1;0;0;7;6;2;2;1;2;2;3;8;7;;
01265;Montréal-la-Cluse;82;01;257;0;5;0;1;2;30;30;54;13;15;2;16;13;30;29;17;;
01266;Montrevel-en-Bresse;82;01;185;4;7;0;1;0;8;23;35;4;11;2;9;7;11;47;16;;
01267;Nurieux-Volognat;82;01;56;0;1;0;0;0;9;6;10;5;3;0;6;0;11;0;5;;
01268;Murs-et-Gélignieux;82;01;22;0;0;0;0;0;2;3;5;0;3;0;1;2;4;1;1;;
01269;Nantua;82;01;231;2;9;1;2;1;15;22;42;5;21;3;12;11;30;31;24;;
01271;Nattages;82;01;26;0;1;0;0;0;2;3;4;0;0;2;1;0;7;2;4;;
01272;Neuville-les-Dames;82;01;92;0;1;0;0;0;6;23;14;3;5;1;5;3;6;18;7;;
01273;Neuville-sur-Ain;82;01;76;3;1;0;0;0;6;14;14;2;6;2;0;3;7;9;9;;
01274;Les Neyrolles;82;01;23;0;1;0;0;0;5;4;5;0;2;0;2;0;2;2;0;;
01275;Neyron;82;01;240;0;1;0;5;0;15;30;39;2;10;3;25;10;69;21;10;;
01276;Niévroz;82;01;94;11;0;0;0;1;5;25;9;4;5;3;3;0;14;9;5;;
01277;Nivollet-Montgriffon;82;01;4;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;;
01279;Oncieu;82;01;4;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;;
01280;Ordonnaz;82;01;13;1;0;0;0;0;0;3;3;1;2;0;0;0;2;1;0;;
01281;Ornex;82;01;147;1;2;0;0;0;3;14;22;4;12;10;5;10;25;22;17;;
01282;Outriaz;82;01;9;0;0;0;0;0;1;2;0;1;1;0;1;0;2;1;0;;
01283;Oyonnax;82;01;1516;11;20;0;7;2;217;106;370;24;78;29;80;68;232;167;105;;
01284;Ozan;82;01;37;0;3;0;0;0;4;7;11;0;0;0;2;0;3;1;6;;
01285;Parcieux;82;01;46;1;1;0;0;0;2;11;7;0;4;0;2;5;6;4;3;;
01286;Parves;82;01;8;0;0;0;0;0;2;2;1;0;0;0;0;0;2;1;0;;
01288;Péron;82;01;80;3;1;0;0;0;4;14;16;0;8;2;1;1;15;6;9;;
01289;Péronnas;82;01;420;1;3;0;5;0;22;72;108;12;12;7;26;19;51;49;33;;
01290;Pérouges;82;01;104;1;3;0;1;0;9;17;23;1;11;1;1;2;20;11;3;;
01291;Perrex;82;01;31;0;0;0;1;0;2;6;5;1;1;0;2;1;6;4;2;;
01292;Le Petit-Abergement;82;01;12;0;0;0;1;0;1;2;0;0;2;1;0;0;1;3;1;;
01293;Peyriat;82;01;9;1;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;;
01294;Peyrieu;82;01;36;0;1;0;0;0;2;12;6;2;2;0;1;1;3;2;4;;
